Temperature,Humidity,Wind_Flow,Status
22.5,55,10,SAFE
23.1,52,12,SAFE
24.0,50,8,SAFE
22.8,58,5,SAFE
25.2,45,15,SAFE
21.9,60,7,SAFE
23.5,53,11,SAFE
24.8,48,9,SAFE
22.2,56,6,SAFE
23.9,51,13,SAFE
25.0,46,14,SAFE
21.5,62,5,SAFE
23.2,54,10,SAFE
24.5,49,11,SAFE
22.7,57,8,SAFE
23.6,52,12,SAFE
25.1,44,16,SAFE
21.8,61,6,SAFE
23.0,55,9,SAFE
24.2,50,10,SAFE
22.4,59,7,SAFE
23.7,53,13,SAFE
24.9,47,15,SAFE
21.6,63,4,SAFE
23.3,54,11,SAFE
24.6,48,10,SAFE
22.6,58,8,SAFE
23.8,51,12,SAFE
25.3,43,17,SAFE
22.0,60,6,SAFE
23.1,56,9,SAFE
24.3,49,11,SAFE
22.3,57,7,SAFE
23.4,52,13,SAFE
24.7,46,14,SAFE
21.7,64,5,SAFE
23.2,55,10,SAFE
24.4,48,12,SAFE
22.5,58,9,SAFE
23.9,51,11,SAFE
25.0,45,15,SAFE
22.1,61,6,SAFE
23.3,54,10,SAFE
24.6,47,13,SAFE
22.4,59,8,SAFE
23.7,52,11,SAFE
24.8,46,14,SAFE
21.9,62,5,SAFE
23.1,55,9,SAFE
24.2,49,11,SAFE
42.5,15,75,DANGER
45.1,12,82,DANGER
48.0,10,95,DANGER
41.8,18,65,DANGER
50.2,5,110,DANGER
40.9,20,60,DANGER
44.5,13,88,DANGER
47.8,8,102,DANGER
42.2,16,70,DANGER
45.9,11,90,DANGER
49.0,6,108,DANGER
40.5,22,62,DANGER
43.2,14,80,DANGER
46.5,9,98,DANGER
41.7,17,68,DANGER
44.6,12,85,DANGER
50.1,4,115,DANGER
40.8,21,61,DANGER
42.0,15,72,DANGER
45.2,10,92,DANGER
48.4,7,105,DANGER
41.3,19,64,DANGER
43.7,13,83,DANGER
46.9,8,100,DANGER
42.6,15,78,DANGER
45.6,11,87,DANGER
49.3,5,112,DANGER
41.0,20,63,DANGER
43.1,16,76,DANGER
46.3,10,94,DANGER
42.3,17,69,DANGER
44.4,12,86,DANGER
49.7,4,118,DANGER
41.7,21,65,DANGER
43.2,15,79,DANGER
47.4,9,101,DANGER
42.5,18,73,DANGER
45.9,11,89,DANGER
48.0,6,109,DANGER
41.1,22,62,DANGER
43.3,14,81,DANGER
46.6,8,99,DANGER
42.4,19,71,DANGER
45.7,12,88,DANGER
49.8,5,114,DANGER
41.9,21,66,DANGER
43.1,16,78,DANGER
47.8,7,104,DANGER
42.2,20,68,DANGER
45.2,13,91,DANGER
